species,longitude,latitude
Bidens bipinnata,781244.9737,1643414.713
Bidens bipinnata,781200.5925,1643406.444
Bidens bipinnata,781107.8162,1643438.464
Bidens bipinnata,781091.3036,1643487.54
Bidens bipinnata,781051.5668,1643561.036
Bidens bipinnata,781117.007,1643610.296
Bidens bipinnata,784314.6577,1646868.795
Bidens bipinnata,784234.2399,1646857.987
Bidens bipinnata,784160.9408,1646918.902
Bidens bipinnata,784124.4735,1646924.891
Bidens bipinnata,784125.4524,1646969.524
Bidens bipinnata,784077.8447,1646916.035
Bidens bipinnata,784086.4764,1646769.099
Bidens bipinnata,784164.2997,1646753.523
Bidens bipinnata,784381.0035,1646586.023
Bidens bipinnata,784430.496,1659279.049
Bidens bipinnata,785551.1454,1660324.858
Bidens bipinnata,785569.205,1660281.782
Bidens bipinnata,785522.7202,1660245.238
Bidens bipinnata,785513.1394,1660182.675
Bidens bipinnata,785832.4522,1660281.622
Bidens bipinnata,786003.166,1660619.723
Bidens bipinnata,786209.5194,1660848.637
Bidens bipinnata,786612.399,1661085.127
Bidens bipinnata,791289.6747,1648778.489
Bidens bipinnata,790744.5196,1650700.849
Bidens bipinnata,791060.9829,1651169.199
Bidens bipinnata,791052.2729,1651654.07
Bidens bipinnata,790989.9838,1654090.334
Bidens bipinnata,790909.1348,1655024.103
Bidens bipinnata,790879.9689,1657453.909
Bidens bipinnata,789834.9229,1660862.867
Bidens bipinnata,781200.0067,1642996.113
Bidens bipinnata,781169.4718,1642945.711
Bidens bipinnata,781140.2066,1642888.017
Bidens bipinnata,781056.0763,1642944.939
Bidens bipinnata,780976.6767,1642891.974
Bidens bipinnata,784888.6848,1649253.698
Bidens bipinnata,784628.2354,1649080.865
Bidens bipinnata,784542.2506,1648995.473
Bidens bipinnata,784483.8864,1648968.76
Bidens bipinnata,784519.8836,1648875.185
Bidens bipinnata,784551.7084,1648715.901
Bidens bipinnata,784279.0923,1646871.363
Bidens bipinnata,784298.4494,1646774.489
Bidens bipinnata,783996.0163,1646878.86
Bidens bipinnata,783947.9977,1646833.671
Bidens bipinnata,783986.347,1646413.04
Bidens bipinnata,784141.5887,1646325.316
Bidens bipinnata,784129.6412,1646234.814
Bidens bipinnata,791278.4305,1648861.952
Bidens bipinnata,791154.8959,1649891.657
Bidens bipinnata,791123.1635,1649906.773
Bidens bipinnata,790739.4308,1650765.22
Bidens bipinnata,791011.1421,1651211.777
Bidens bipinnata,791163.0045,1651128.032
Bidens bipinnata,790917.296,1654189.214
Bidens bipinnata,790975.7352,1655056.152
Bidens bipinnata,789743.704,1660815.814
Bidens bipinnata,784113.8969,1659203.851
Bidens bipinnata,782218.0043,1656975.29
Bidens bipinnata,782192.9611,1656854.086
Bidens bipinnata,785834.3532,1660284.634
Bidens bipinnata,786209.5194,1660848.637
Bidens bipinnata,779035.2983,1661830.028
Bidens bipinnata,779069.5298,1661618.293
Bidens bipinnata,779137.6756,1661551.776
Bidens bipinnata,779154.6658,1661543.672
Bidens bipinnata,778841.5136,1661699.873
Bidens bipinnata,778011.2789,1661904.164
Bidens bipinnata,777960.929,1661921.622
Bidens bipinnata,777279.8235,1661520.285
Bidens bipinnata,775969.6698,1661428.42
Bidens bipinnata,776210.4705,1661153.097
Bidens bipinnata,776021.2433,1661157.21
Bidens bipinnata,779959.8906,1661921.065
Bidens bipinnata,779888.1734,1662071.352
Bidens bipinnata,773317.5056,1653693.203
Bidens bipinnata,774967.8089,1656511.128
Bidens bipinnata,775111.6903,1656503.598
Bidens bipinnata,777810.6878,1658836.931
Bidens bipinnata,777822.0372,1658805.067
Bidens bipinnata,777830.7945,1658764.757
Bidens bipinnata,778957.0522,1659886.662
Bidens bipinnata,778951.9168,1659902.434
Bidens bipinnata,778983.0708,1659934.686
Bidens bipinnata,779968.4716,1660735.692
Bidens bipinnata,780446.3087,1660980.146
Bidens bipinnata,780522.3417,1660938.858
Bidens bipinnata,780729.9524,1660964.449
Bidens bipinnata,780883.0187,1661052.397
Bidens bipinnata,781040.6812,1661079.173
Bidens bipinnata,781088.0031,1661127.121
Bidens bipinnata,781237.9414,1661206.398
Bidens bipinnata,781138.8719,1661139.016
Bidens bipinnata,771406.3038,1655201.558
Bidens bipinnata,773070.8987,1657970.673
Bidens bipinnata,773020.4002,1657963.34
Bidens bipinnata,775426.6032,1660812.298
Bidens bipinnata,779050.0927,1661770.635
Bidens bipinnata,779080.1019,1661643.55
Bidens bipinnata,779092.1042,1661583.682
Bidens bipinnata,778950.1285,1661550.128
Bidens bipinnata,777943.8893,1661842.038
Bidens bipinnata,777186.7798,1661664.571
Bidens bipinnata,777127.6295,1661707.726
Bidens bipinnata,775972.2167,1661570.499
Bidens bipinnata,779905.6781,1661882.56
Bidens bipinnata,779965.9343,1661864.78
Bidens bipinnata,773260.8478,1653687.13
Bidens bipinnata,773253.2974,1653697.893
Bidens bipinnata,774947.1049,1656523.842
Bidens bipinnata,774916.5622,1656549.73
Bidens bipinnata,777815.5649,1658861.678
Bidens bipinnata,777786.4575,1658856.689
Bidens bipinnata,777770.1759,1658877.756
Bidens bipinnata,778971.9344,1659856.499
Bidens bipinnata,779004.5136,1659868.175
Bidens bipinnata,778994.1897,1659895.069
Bidens bipinnata,779969.7821,1660697.509
Bidens bipinnata,780497.2474,1660894.939
Bidens bipinnata,780538.3013,1660926.978
Bidens bipinnata,780747.4967,1661027.988
Bidens bipinnata,780757.5097,1661018.474
Bidens bipinnata,780894.8476,1661107.787
Bidens bipinnata,781077.9957,1661108.844
Bidens bipinnata,771490.485,1655200.523
Bidens bipinnata,771174.9521,1655196.27
Bidens bipinnata,773098.4531,1658045.499
Bidens bipinnata,783333.9862,1658944.323
Bidens bipinnata,784316.2638,1659175.254
Bidens bipinnata,786617.167,1661127.038
